Period,Transaction cost (%),Ticker,Category,Universe,Drop threshold (%),Holding period,Number of big drop days,Average return after costs (%),Benchmark average return (%),Edge vs benchmark after costs (%),Win rate after costs (%),Best return after costs (%),Worst return after costs (%),Average winning trade after costs (%),Average losing trade after costs (%),Risk-adjusted score after costs
2020-2024,0.0,IWM,Broad Index,Core,-3.0,3,42,-1.6,0.13,-1.72,40.48,8.12,-17.68,2.72,-4.53,-0.38
2020-2024,0.0,IWM,Broad Index,Core,-3.0,5,42,-1.56,0.22,-1.78,45.24,10.7,-24.0,3.82,-6.0,-0.296
2020-2024,0.1,IWM,Broad Index,Core,-3.0,1,42,-0.27,0.04,-0.32,47.62,6.6,-11.15,1.7,-2.07,-0.153
2020-2024,0.1,IWM,Broad Index,Core,-3.0,3,42,-1.7,0.13,-1.82,40.48,8.02,-17.78,2.62,-4.63,-0.394
2020-2024,0.1,IWM,Broad Index,Core,-3.0,5,42,-1.66,0.22,-1.88,45.24,10.6,-24.1,3.72,-6.1,-0.308
2020-2024,0.25,IWM,Broad Index,Core,-3.0,1,42,-0.42,0.04,-0.47,45.24,6.45,-11.3,1.64,-2.12,-0.219
2020-2024,0.25,IWM,Broad Index,Core,-3.0,3,42,-1.85,0.13,-1.97,38.1,7.87,-17.93,2.63,-4.6,-0.429
2020-2024,0.25,IWM,Broad Index,Core,-3.0,5,42,-1.81,0.22,-2.03,45.24,10.45,-24.25,3.57,-6.25,-0.324
2020-2024,0.5,IWM,Broad Index,Core,-3.0,1,42,-0.67,0.04,-0.72,38.1,6.2,-11.55,1.67,-2.11,-0.339
2020-2024,0.5,IWM,Broad Index,Core,-3.0,3,42,-2.1,0.13,-2.22,33.33,7.62,-18.18,2.74,-4.51,-0.493
2020-2024,0.5,IWM,Broad Index,Core,-3.0,5,42,-2.06,0.22,-2.28,42.86,10.2,-24.5,3.51,-6.24,-0.365
2020-2024,0.0,DIA,Broad Index,Core,-1.0,1,153,0.21,0.05,0.17,52.94,11.02,-10.06,1.5,-1.24,0.134
